red,orange,yellow,green,blue,white,brown,cyan,gray,pink,darkslategray,no match,initial_price,curr_price,days_since_release,skin_type
1,13,0,0,3,20,2109,6,9206,1214,27260,0,2.49,3.23,1691,Improvised Balaclava
0,0,0,0,6,634,29,32,8069,526,54854,0,2.3,27.93,1290,Burlap Shoes
1,0,0,0,4,99,54,13,14346,485,32163,0,2.46,3.54,1286,Burlap Shirt
1,89,1,0,2,91,10967,25,5400,961,18253,0,0.99,0.52,142,Hoodie
1,0,1,0,9,0,736,23,8091,691,27053,0,0.99,0.6,142,Pants
0,302,1,0,11,89,455,36,515,263,3268,0,1.99,3.2,353,Hunting Bow
0,20,0,0,10,16,1000,27,2128,298,8300,0,1.99,2.17,753,Semi-Automatic Rifle
0,82,218,0,5,1043,334,34,20604,2365,30803,0,1.49,1.73,571,Leather Gloves
0,223,0,0,0,37,15556,35,5022,524,22312,0,0.99,0.72,571,Hoodie
0,32,13,0,7,10,0,23,2591,90,32679,0,0.99,1.63,571,Pants
3,0,0,0,1,2540,1,10,33373,2032,35784,0,1.49,2.32,94,Garage Door
1,666,1763,0,6,2953,285,28,13755,7714,27325,0,1.49,1.36,94,Large Wood Box
1,0,0,0,4,1146,2077,29,25241,6818,17847,0,4.7,1.89,1159,Large Wood Box
0,0,0,1,9,1,0,26,6137,12,57464,0,0.99,3.93,696,Boots
0,0,0,0,5,144,324,31,14842,1842,36589,0,0.99,3.06,696,Leather Gloves
0,0,0,0,3,0,1,29,720,0,31651,0,0.99,1.76,697,Hoodie
1,0,1,0,9,1,0,24,1482,118,33405,0,0.99,2.21,696,Pants
7,811,110,0,274,699,3956,30,9076,1188,16458,0,1.99,2.35,675,Hammer
0,0,0,0,2,0,8,28,60,0,12511,0,3.69,32.03,1225,Hide Poncho
0,0,0,0,2,0,0,10,1341,14,20884,0,2.49,6.11,1301,Shorts
1,56,97,610,56,29,3812,16,6144,844,11456,0,1.99,1.8,170,Rocket Launcher
1,297,0,1,6,4564,1779,23,5832,2714,4745,0,1.99,1.13,542,Salvaged Sword
